date;pressure;temp;
12/04/2017-10:41:49;-0.04119;25.290;
12/04/2017-10:41:49;-0.04195;25.312;
12/04/2017-10:41:49;-0.04042;25.314;
12/04/2017-10:41:50;-0.04195;25.316;
12/04/2017-10:41:50;-0.04042;25.326;
12/04/2017-10:41:50;-0.03966;25.318;
12/04/2017-10:41:50;-0.04042;25.307;
12/04/2017-10:41:51;-0.04119;25.324;
12/04/2017-10:43:00;-0.04042;25.303;
12/04/2017-10:43:01;-0.04195;25.320;
12/04/2017-10:43:01;-0.04042;25.316;
12/04/2017-10:43:01;-0.04042;25.320;
12/04/2017-10:43:02;-0.04119;25.328;
12/04/2017-10:43:02;-0.03966;25.332;
12/04/2017-10:43:02;-0.04119;25.345;
12/04/2017-10:43:03;-0.04119;25.337;
12/04/2017-10:43:03;-0.04119;25.333;
12/04/2017-10:43:03;-0.04195;25.322;
12/04/2017-10:43:03;-0.04195;25.322;
12/04/2017-10:43:04;-0.04042;25.326;
12/04/2017-10:43:04;-0.04119;25.320;
12/04/2017-10:43:04;-0.04119;25.335;
12/04/2017-10:43:05;-0.04119;25.316;
12/04/2017-10:43:05;-0.04042;25.328;
12/04/2017-10:43:05;-0.03966;25.337;
12/04/2017-10:43:06;-0.04042;25.337;
12/04/2017-10:43:06;-0.04042;25.332;
12/04/2017-10:43:06;-0.04119;25.322;
12/04/2017-10:43:07;-0.04119;25.333;
12/04/2017-10:43:07;-0.04119;25.347;
12/04/2017-10:43:07;-0.03814;25.328;
12/04/2017-10:43:08;-0.04195;25.335;
12/04/2017-10:43:08;-0.04119;25.322;
12/04/2017-10:43:08;-0.04042;25.351;
12/04/2017-10:43:08;-0.04119;25.332;
12/04/2017-10:43:09;-0.04042;25.341;
12/04/2017-10:43:09;-0.04119;25.337;
12/04/2017-10:43:09;-0.04119;25.335;
12/04/2017-10:43:10;-0.04119;25.337;
12/04/2017-10:43:10;-0.04195;25.349;
12/04/2017-10:43:10;-0.04195;25.337;
12/04/2017-10:43:11;-0.04119;25.345;
12/04/2017-10:43:11;-0.04195;25.347;
12/04/2017-10:43:11;-0.04042;25.345;
12/04/2017-10:43:12;-0.04042;25.330;
12/04/2017-10:43:12;-0.04042;25.324;
12/04/2017-10:43:12;-0.04119;25.326;
12/04/2017-10:43:12;-0.04119;25.320;
12/04/2017-10:43:13;-0.03966;25.312;
12/04/2017-10:43:13;-0.04042;25.316;
12/04/2017-10:43:13;-0.04119;25.320;
12/04/2017-10:43:14;-0.04119;25.312;
12/04/2017-10:43:14;-0.04119;25.337;
12/04/2017-10:43:14;-0.04195;25.326;
12/04/2017-10:43:15;-0.04195;25.326;
12/04/2017-10:43:15;-0.04119;25.326;
12/04/2017-10:43:15;-0.04119;25.318;
12/04/2017-10:43:16;-0.04119;25.324;
12/04/2017-10:43:16;-0.04119;25.345;
12/04/2017-10:43:16;-0.03966;25.322;
12/04/2017-10:43:17;-0.04119;25.341;
12/04/2017-10:43:17;-0.04119;25.345;
12/04/2017-10:43:17;-0.04119;25.341;
12/04/2017-10:43:17;-0.04042;25.370;
12/04/2017-10:43:18;-0.04042;25.341;
12/04/2017-10:43:18;-0.03966;25.326;
12/04/2017-10:43:18;-0.04195;25.341;
12/04/2017-10:43:19;-0.04119;25.345;
12/04/2017-10:43:19;-0.03966;25.362;
12/04/2017-10:43:19;-0.04042;25.352;
12/04/2017-10:43:20;-0.04119;25.343;
12/04/2017-10:43:20;-0.04042;25.372;
12/04/2017-10:43:20;-0.03966;25.345;
12/04/2017-10:43:21;-0.04042;25.351;
12/04/2017-10:43:21;-0.04042;25.345;
12/04/2017-10:43:21;-0.04119;25.343;
12/04/2017-10:43:21;-0.04042;25.347;
12/04/2017-10:43:22;-0.04042;25.337;
12/04/2017-10:43:22;-0.04042;25.318;
12/04/2017-10:43:24;-0.04119;25.291;
12/04/2017-10:43:24;-0.04195;25.318;
12/04/2017-10:43:24;-0.04195;25.343;
12/04/2017-10:43:25;-0.04195;25.343;
12/04/2017-10:43:25;-0.04119;25.330;
12/04/2017-10:43:25;-0.04119;25.339;
12/04/2017-10:43:26;-0.04119;25.343;
12/04/2017-10:43:26;-0.04042;25.364;
12/04/2017-10:43:26;-0.04271;25.337;
12/04/2017-10:43:27;-0.04042;25.352;
12/04/2017-10:43:27;-0.04042;25.349;
12/04/2017-10:43:27;-0.04042;25.364;
12/04/2017-10:43:28;-0.04195;25.364;
12/04/2017-10:43:28;-0.03966;25.368;
12/04/2017-10:43:28;-0.04119;25.337;
12/04/2017-10:43:28;-0.04119;25.370;
12/04/2017-10:43:29;-0.04271;25.368;
12/04/2017-10:43:29;-0.04119;25.373;
12/04/2017-10:43:29;-0.04348;25.358;
12/04/2017-10:43:30;-0.04119;25.354;
12/04/2017-10:43:30;-0.04119;25.343;
12/04/2017-10:43:30;-0.04042;25.356;
12/04/2017-10:43:31;-0.04042;25.364;
12/04/2017-10:43:31;-0.04119;25.372;
12/04/2017-10:43:31;-0.04042;25.351;
12/04/2017-10:43:32;-0.04195;25.351;
12/04/2017-10:43:32;-0.04119;25.358;
12/04/2017-10:43:32;-0.04042;25.360;
12/04/2017-10:43:33;-0.04119;25.364;
12/04/2017-10:43:33;-0.04119;25.364;
12/04/2017-10:43:33;-0.04119;25.349;
12/04/2017-10:43:33;-0.04119;25.343;
12/04/2017-10:43:34;-0.04195;25.356;
12/04/2017-10:43:34;-0.04119;25.322;
12/04/2017-10:43:34;-0.04119;25.330;
12/04/2017-10:43:35;-0.03966;25.332;
12/04/2017-10:43:35;-0.04119;25.341;
12/04/2017-10:43:35;-0.04195;25.330;
12/04/2017-10:43:36;-0.04119;25.343;
12/04/2017-10:43:36;-0.04119;25.332;
12/04/2017-10:43:36;-0.04195;25.272;
12/04/2017-10:43:37;-0.03966;25.337;
12/04/2017-10:43:37;-0.04042;25.349;
12/04/2017-10:43:37;-0.04348;25.347;
12/04/2017-10:43:38;-0.03966;25.345;
12/04/2017-10:43:38;-0.04195;25.352;
12/04/2017-10:43:38;-0.04195;25.337;
12/04/2017-10:43:38;-0.04042;25.356;
12/04/2017-10:43:39;-0.04348;25.372;
12/04/2017-10:43:39;-0.04119;25.339;
12/04/2017-10:43:39;-0.04042;25.356;
12/04/2017-10:43:40;-0.04195;25.372;
12/04/2017-10:43:40;-0.04119;25.370;
12/04/2017-10:43:40;-0.04119;25.349;
12/04/2017-10:43:41;-0.04042;25.366;
12/04/2017-10:43:41;-0.04042;25.368;
12/04/2017-10:43:41;-0.04119;25.389;
12/04/2017-10:43:42;-0.04195;25.375;
12/04/2017-10:43:42;-0.04119;25.370;
12/04/2017-10:43:42;-0.04119;25.364;
12/04/2017-10:43:42;-0.04271;25.372;
12/04/2017-10:43:43;-0.04119;25.362;
12/04/2017-10:43:43;-0.03966;25.356;
12/04/2017-10:43:43;-0.04119;25.366;
12/04/2017-10:43:44;-0.04042;25.345;
12/04/2017-10:43:44;-0.04119;25.364;
12/04/2017-10:43:44;-0.04042;25.356;
12/04/2017-10:43:45;-0.04195;25.341;
12/04/2017-10:43:45;-0.04119;25.364;
12/04/2017-10:43:45;-0.04119;25.356;
12/04/2017-10:43:46;-0.04119;25.352;
12/04/2017-10:43:46;-0.04271;25.345;
12/04/2017-10:43:46;-0.04042;25.364;
12/04/2017-10:43:47;-0.04042;25.343;
12/04/2017-10:43:47;-0.04042;25.349;
12/04/2017-10:43:47;-0.04042;25.354;
12/04/2017-10:43:47;-0.04119;25.356;
12/04/2017-10:43:48;-0.04195;25.358;
12/04/2017-10:43:48;-0.04119;25.373;
12/04/2017-10:43:48;-0.04195;25.358;
12/04/2017-10:43:49;-0.04042;25.333;
12/04/2017-10:43:49;-0.04271;25.286;
12/04/2017-10:43:49;-0.04271;25.276;
